distance,theory,confidence,std_dev,snr_est
100,RG,0.499072265625,0.006082777267890999,20.0
100,LQG,0.5013427734375,0.0061018064013001715,20.0
100,STRING_FUZZBALL,0.50145263671875,0.004509816615104291,20.0
400,RG,0.5010986328125,0.004779485339465794,5.0
400,LQG,0.49818115234375,0.0054829685113974265,5.0
400,STRING_FUZZBALL,0.50345458984375,0.006011773895546142,5.0
800,RG,0.49935302734375,0.006915054250160953,2.5
800,LQG,0.49876708984375,0.00559141997074087,2.5
800,STRING_FUZZBALL,0.49918212890625,0.004090011316344408,2.5
1600,RG,0.5002197265625,0.003693630618055785,1.25
1600,LQG,0.50142822265625,0.006031323546124253,1.25
1600,STRING_FUZZBALL,0.49727783203125,0.004642541175088616,1.25
3200,RG,0.50166015625,0.003054295819627887,0.625
3200,LQG,0.49830322265625,0.004698502026930856,0.625
3200,STRING_FUZZBALL,0.49873046875,0.0051879739200168876,0.625
